Portfolio,Number of boards,Number of positions,Number of women
Agriculture and Water Resources,19,97,42
Attorney-General's,6,39,17
Communications and the Arts,26,167,89
Defence,25,147,67
Education and Training,15,94,48
Environment and Energy,15,102,50
Finance,7,40,17
Foreign Affairs and Trade,21,164,83
Health,49,539,252
Home Affairs,2,21,9
Human Services,2,10,5
"Infrastructure, Regional Development & Cities",80,610,232
Jobs and Innovation,31,234,116
Prime Minister and Cabinet,8,51,27
Social Services,9,71,43
Treasury,24,144,61